name,description,base_price,sku,vendor
Gaming Laptop Pro,High-performance laptop with RGB keyboard and RTX graphics,1499.99,LAPTOP-GAMING-001,Vendor One
Wireless Mouse,Ergonomic wireless mouse with 6 programmable buttons,49.99,MOUSE-WIRELESS-001,Vendor Two
Mechanical Keyboard,RGB mechanical keyboard with Cherry MX switches,129.99,KEYBOARD-MECH-001,Vendor Two
USB-C Hub,7-in-1 USB-C hub with HDMI and SD card reader,39.99,HUB-USBC-001,Vendor Two
Laptop Stand,Aluminum adjustable laptop stand for better ergonomics,34.99,STAND-LAPTOP-001,Vendor One
Webcam 4K,4K webcam with auto-focus and noise cancellation,89.99,WEBCAM-4K-001,Vendor One
Monitor 27 inch,27 inch 4K IPS monitor with HDR support,399.99,MONITOR-27-001,Vendor Two
Headphones Bluetooth,Noise-canceling Bluetooth headphones with 30h battery,199.99,HEADPHONES-BT-001,Vendor Two
External SSD 1TB,Portable 1TB SSD with USB 3.2 Gen 2,119.99,SSD-EXTERNAL-1TB,Vendor Two
Graphics Tablet,Professional graphics tablet with 8192 pressure levels,249.99,TABLET-GRAPHICS-001,Vendor One
Desk Mat Large,Large desk mat with waterproof surface,24.99,DESKMAT-LARGE-001,Vendor Two
Phone Stand,Adjustable phone stand for desk,14.99,STAND-PHONE-001,Vendor Two
Cable Organizer,Cable management box to organize desk cables,19.99,ORGANIZER-CABLE-001,Vendor Two
LED Desk Lamp,LED desk lamp with wireless charging pad,45.99,LAMP-LED-DESK-001,Vendor Two
Laptop Backpack,Water-resistant laptop backpack with USB charging port,59.99,BACKPACK-LAPTOP-001,Vendor One
